timestamp,R1_1,R1_2,R1_3,R1_4,R1_5,R1_6,R1_7,R1_8,R1_9,R1_10,R1_11,R1_12,R2_1,R2_2,R2_3,R2_4,R2_5,R2_6,R2_7,R2_8,R2_9,R2_10,R2_11,R2_12,R3_1,R3_2,R3_3,R3_4,R3_5,R3_6,R3_7,R3_8,R3_9,R3_10,R3_11,R3_12,R4_1,R4_2,R4_3,R4_4,R4_5,R4_6,R4_7,R4_8,R4_9,R4_10,R4_11,R4_12,Label,Class
1686748815.1617968,105.1627,-1.2294,365.0681,-1.9736,100.1672,1.8883,78.5011,1.2141,23.0991,-3.6364,36.4795,-2.746900',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',183.6347,-1.8822,72.8394,1.879,44.3276,-0.85,142.0057,-0.5145,67.279,-0.9344,64.5674,-1.212400',drill,0
1686748815.164847,106.6666,-1.1236,344.6341,-1.9815,99.4633,1.9675,81.4954,1.2313,23.3182,-3.6262,34.8435,-3.111700',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',160.9037,-2.1411,77.8161,1.8501,43.6471,-0.8414,136.1855,-0.5017,65.8125,-0.9242,65.9381,-1.229000',drill,0
1686748815.1650984,112.7973,-1.1857,303.3749,-1.9601,97.4103,1.9908,74.4046,1.2267,22.9273,-3.6252,35.1152,-3.093300',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',194.2346,-1.8043,75.5209,1.8924,44.27,-0.8368,144.5402,-0.5322,65.8001,-0.9594,64.6604,-1.166000',drill,0
1686748815.1910305,102.9865,-1.1399,339.1493,-1.9886,99.1331,1.953,77.9769,1.218,19.2638,-3.8045,33.8944,-3.111400',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',195.2909,-1.8323,71.6113,1.8873,43.9322,-0.8331,139.8283,-0.5639,64.9525,-0.9068,64.5746,-1.159500',drill,0
1686748815.401518,109.4451,-1.1809,459.0769,-1.8458,96.8225,1.9192,75.8129,1.2333,23.1666,-3.6102,34.6477,-3.120300',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',176.9029,-1.9126,72.8586,1.9054,43.3394,-0.8482,130.8645,-0.5489,64.8866,-0.8901,65.3484,-1.180700',drill,0
1686748815.6121442,103.9267,-1.1867,443.4501,-1.8239,101.4961,1.941,79.3561,1.2481,22.927,-3.6263,34.096,-3.101200',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',187.0695,-1.973,73.3572,1.8607,44.125,-0.8422,128.9298,-0.5396,65.4118,-0.9287,64.684,-1.158100',drill,0
1686748815.8228283,110.465,-1.1942,451.8036,-1.8099,102.4917,1.8627,77.9228,1.2384,23.0864,-3.6238,34.1498,-3.123800',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',178.0997,-1.7521,73.1697,1.8942,42.3728,-0.8404,138.3524,-0.5632,64.8013,-0.9346,64.7562,-1.209000',drill,0
1686748816.0335295,107.6138,-1.16,358.1217,-1.8803,98.9946,1.8603,72.1813,1.263,19.6161,-3.8032,33.7827,-3.114500',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',172.8194,-1.9546,75.4927,1.8754,43.0621,-0.832,141.7669,-0.5142,64.2811,-0.9054,65.2833,-1.169700',drill,0
1686748816.2442188,109.6083,-1.1589,374.8832,-1.7518,99.5682,1.8001,70.6099,1.2747,23.0506,-3.6202,34.4458,-3.139700',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',172.3629,-2.0241,74.5789,1.8781,43.0557,-0.8314,141.8258,-0.5123,65.1151,-0.9289,63.4475,-1.179900',drill,0
1686748816.454938,109.5752,-1.1354,336.3139,-1.9699,104.5077,1.8137,74.2314,1.2315,23.2755,-3.6321,34.4589,-3.114700',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',186.9756,-1.7926,75.6823,1.8821,43.9119,-0.8538,149.3337,-0.5281,65.8896,-0.9228,65.971,-1.175700',drill,0
